q1,q2,is_duplicate
Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,0.0
Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0.0
Why students run away from home?,Why do people run away from home?,0.0
What are the qualifications for being an FBI or CIA agent?,What does it take to become an FBI agent?,0.0
Can an auto immune disease cause insomnia?,What causes Auto Immune diseases?,0.0
"What are the winter weather conditions like in Cincinnati, OH?",What is the weather like during winter in Tel Aviv?,0.0
What is it like to live in Cologne?,"What is it like to live in K̦ln, Germany? ",1.0
How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0.0
"In your opinion, what is the best classical song of all time?",What's the best classical music piece of all time?,1.0
What is CPAGrip.com?,What is bestmytest.com?,0.0
"If you have me, you want to share me. If you share me, you haven't got me. What am I?","If you have me, you want to share me. If you share me, you don't get me. What am I?",1.0
What are some movies that everyone needs to watch at least once in life?,What movies would you recommend everyone to watch?,1.0
Are there any scientific reasons behind Hindu temples?,What is the scientific reason behind visiting temples?,1.0
What is your job and your salary? Are you satisfied with your current job?,My IQ is currently 83. Can I get a high paying job or ever get a six figure salary job?,0.0
What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,0.0
How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0.0
What are scraping techniques?,What are some good free web scrapers / scraping techniques?,1.0
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0.0
What are some tips on making it through the job interview process at S &amp; T Bank?,What are some tips on making it through the job interview process at AT&amp;T?,0.0
How do you send a private message to someone you're following on Quora?,How do I send another person a message on Quora?,1.0
Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1.0
Is Evernote useful?,What is Evernote used for?,1.0
How racist is too racist?,How racist are you?,0.0
What is the scope of supply chain management in India?,"What is the future scope for procurement, logistics, operations and supply chain management?",0.0
Which acoustic bass guitar is the best?,How do you go about maintaining an acoustic bass guitar?,0.0
What are the qualities of a good leader?,What are some good qualities of a leader?,1.0
What are the easy ways to earn money online?,How can I earn money on internet?,1.0
Is senior residency at Hindu Rao Hospital teaching experience?,I am studying BS Computer science. I am in 7th semester and can't pass the basic programming course. Wasted alot money?,0.0
"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",1.0
What is the reason Pakistan supports terrorism?,Has Pakistan become a safe haven for global terrorism?,1.0
Where do I find 3ds emulator for android?,Is there a working Nintendo 3DS emulator for PC?,1.0
Which is the best PMP Certification course provider in Bangalore?,Which is the best pmp certification center in Bangalore?,1.0
"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0.0
I'm 15 year old my height is 5 feet 7 inches and my weight is 50 kg what should I do to gain weight?,"I am 22, my weight is 46 kg and my height is 5.4 ft. What should I do to gain height and weight?",1.0
How do I register institute providing training in various programming languages for vocational courses as it will exempt it from the service tax?,How much marks should I score in SSC cpo to get Delhi police?,0.0
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1.0
Do you have any paranormal experience?,What are your best paranormal experiences?,0.0
Which is the best coaching center for SSC and Banking in Chandigarh?,Which are the best SSC and banking coaching centers in Chandigarh?,1.0
What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1.0
How do I sell on Amazon?,How do I start selling on Amazon?,1.0
Is gravity only a theory?,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",0.0
Where can I find a European family office database?,Where do I find a U.S. family office database?,0.0
"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0.0
What are the best films that take place in one room?,I want to get thrilled. Which movie should I watch?,0.0
How TQWL is different from CKWL (Tatkal waiting list)?,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,0.0
Why do Slavs squat?,Do squats work for men?,0.0
